predicted_mean,predicted_sd
1.8537,0.9567
-0.0474,0.9567
-1.7997,0.9567
0.3752,0.9567
2.8596,0.9567
3.3841,0.9567
-2.4674,0.9567
-2.2241,0.9567
2.3975,0.9567
2.6964,0.9567
-1.683,0.9567
2.2602,0.9567
1.2533,0.9567
4.7707,0.9567
3.9647,0.9567
-2.1276,0.9567
-1.7909,0.9567
2.5453,0.9567
-0.1089,0.9567
1.4708,0.9567
0.7558,0.9567
2.4187,0.9567
-0.6978,0.9567
-1.3404,0.9567
-1.1559,0.9567
1.9471,0.9567
1.8693,0.9567
-0.5778,0.9567
-0.5492,0.9567
1.3197,0.9567
2.3471,0.9567
1.4097,0.9567
4.1955,0.9567
-1.5067,0.9567
0.1838,0.9567
-2.6467,0.9567
1.5315,0.9567
-1.0703,0.9567
-0.05,0.9567
0.1019,0.9567
0.033,0.9567
0.709,0.9567
-1.4467,0.9567
1.1085,0.9567
1.3323,0.9567
2.5303,0.9567
0.9265,0.9567
3.9316,0.9567
2.1838,0.9567
-2.2513,0.9567
-0.8158,0.9567
-1.1044,0.9567
1.9177,0.9567
-3.296,0.9567
0.6596,0.9567
3.0847,0.9567
1.7962,0.9567
-1.5459,0.9567
2.2204,0.9567
1.8965,0.9567
2.0293,0.9567
0.3743,0.9567
-0.9363,0.9567
-1.5057,0.9567
1.7355,0.9567
1.3071,0.9567
-0.0852,0.9567
2.7547,0.9567
0.799,0.9567
-0.2775,0.9567
1.1557,0.9567
2.856,0.9567
0.7029,0.9567
0.1548,0.9567
2.7622,0.9567
-1.7879,0.9567
-4.7691,0.9567
1.9173,0.9567
0.2774,0.9567
2.4691,0.9567
-2.2749,0.9567
0.8235,0.9567
1.0432,0.9567
4.8679,0.9567
0.7488,0.9567
4.8803,0.9567
0.8108,0.9567
2.8967,0.9567
2.2174,0.9567
-3.6526,0.9567
3.0686,0.9567
-0.9373,0.9567
0.9643,0.9567
5.9954,0.9567
1.424,0.9567
5.5767,0.9567
-1.441,0.9567
1.5511,0.9567
-2.51,0.9567
-0.1388,0.9567
