GrLivArea,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GarageArea,BedroomAbvGr,Fireplaces,WoodDeckSF,OpenPorchSF,sale_price_keur,distressed
2028.0,11443.0,8,5,2005,2006,1868.0,880.0,2,2,326.0,66.0,539.687,0
1664.0,9825.0,5,5,1965,1965,0.0,0.0,4,0,0.0,0.0,229.127,1
1948.0,12393.0,7,5,2004,2005,847.0,434.0,4,1,100.0,48.0,419.881,0
1056.0,8900.0,4,4,1966,1966,1056.0,384.0,2,0,0.0,42.0,242.675,1
1060.0,8246.0,5,8,1968,2001,1060.0,270.0,3,1,406.0,90.0,244.324,0
1801.0,10463.0,8,5,2005,2005,893.0,800.0,3,1,0.0,116.0,483.162,0
1196.0,9000.0,6,5,1956,1956,1196.0,297.0,2,1,0.0,44.0,322.701,0
1039.0,11625.0,5,4,1965,1965,1039.0,504.0,3,0,0.0,0.0,301.759,0
1363.0,7740.0,4,7,1910,1950,622.0,528.0,3,0,0.0,0.0,255.378,0
1558.0,13710.0,5,5,1950,1950,910.0,282.0,4,0,289.0,0.0,268.21,0
1234.0,11049.0,8,5,2007,2007,1234.0,484.0,3,0,0.0,30.0,406.29,0
1126.0,8777.0,4,5,1949,2003,0.0,520.0,2,0,0.0,96.0,228.741,1
1535.0,10171.0,7,5,2004,2004,1517.0,532.0,3,0,0.0,0.0,449.099,1
1140.0,8800.0,4,7,1910,2004,576.0,0.0,3,0,0.0,160.0,224.362,0
1154.0,5436.0,4,8,1922,2007,796.0,240.0,3,0,0.0,96.0,251.517,0
1422.0,12342.0,5,5,1960,1978,978.0,286.0,3,1,0.0,0.0,280.993,0
1734.0,11645.0,7,5,2005,2005,1734.0,660.0,3,0,160.0,24.0,452.332,0
1717.0,11146.0,8,5,2006,2006,1709.0,908.0,3,1,169.0,39.0,531.822,1
2117.0,12925.0,6,7,1970,1970,1205.0,550.0,4,2,0.0,42.0,401.017,0
1392.0,11341.0,5,6,1957,1996,1392.0,528.0,3,1,0.0,0.0,286.486,0
1253.0,10920.0,6,5,1960,1960,1253.0,352.0,2,1,0.0,213.0,291.879,1
1360.0,5814.0,8,5,1984,1984,1220.0,565.0,1,1,63.0,0.0,440.773,0
1826.0,11302.0,8,5,2005,2006,1814.0,758.0,3,1,180.0,75.0,567.859,0
2069.0,27650.0,7,7,1960,2007,585.0,505.0,4,1,0.0,0.0,332.719,0
1733.0,12394.0,7,5,2003,2003,847.0,433.0,3,1,100.0,48.0,451.304,0
1720.0,11645.0,7,5,2004,2004,860.0,565.0,3,0,0.0,70.0,397.604,0
1344.0,9503.0,5,5,1958,1983,1024.0,484.0,2,1,316.0,28.0,267.258,1
1200.0,3180.0,7,5,2005,2005,600.0,480.0,2,0,0.0,166.0,315.033,0
1960.0,7596.0,5,5,1952,1952,960.0,400.0,4,0,0.0,0.0,330.216,0
2792.0,10440.0,6,7,1920,1950,1510.0,520.0,5,2,0.0,547.0,391.003,0
1836.0,9100.0,7,5,2004,2005,1860.0,484.0,3,1,120.0,33.0,430.997,0
1838.0,21930.0,5,5,2005,2005,732.0,372.0,4,1,100.0,40.0,345.636,0
1600.0,8773.0,6,5,1997,1997,916.0,460.0,3,1,100.0,38.0,356.104,0
848.0,4438.0,6,5,2004,2004,848.0,420.0,1,1,149.0,0.0,337.322,0
698.0,9405.0,5,9,1947,2008,698.0,0.0,2,0,0.0,200.0,214.167,0
954.0,6305.0,5,7,1938,1950,920.0,240.0,2,1,0.0,0.0,245.888,0
1969.0,11952.0,7,6,1977,1977,808.0,534.0,3,1,0.0,0.0,371.828,0
2021.0,23257.0,7,5,2006,2006,868.0,422.0,3,1,0.0,100.0,467.918,0
964.0,13360.0,5,7,1921,2006,876.0,432.0,2,0,0.0,0.0,241.142,0
1484.0,12589.0,6,5,2005,2005,742.0,390.0,3,1,36.0,24.0,362.796,0
1829.0,9548.0,7,6,2003,2003,941.0,613.0,3,1,192.0,39.0,432.786,0
1644.0,12800.0,7,5,1989,1989,1518.0,569.0,2,1,80.0,0.0,406.801,0
1456.0,3196.0,8,5,2003,2003,1273.0,400.0,2,1,143.0,20.0,380.58,0
1908.0,8750.0,7,5,1994,1995,915.0,493.0,4,1,144.0,133.0,420.195,0
1194.0,8760.0,6,6,1959,1959,1194.0,312.0,3,0,0.0,0.0,315.111,0
1660.0,10182.0,8,5,2006,2006,1660.0,500.0,3,1,322.0,50.0,436.453,1
1651.0,12416.0,6,5,1986,1986,1606.0,616.0,3,1,192.0,0.0,409.644,0
1939.0,10728.0,8,5,2006,2006,1095.0,1053.0,3,1,192.0,51.0,481.323,1
2898.0,15498.0,8,6,1976,1976,1565.0,665.0,2,1,0.0,72.0,479.592,0
1352.0,4230.0,7,5,2006,2007,1352.0,466.0,2,1,0.0,241.0,426.33,1
1088.0,3696.0,8,5,1986,1986,1074.0,461.0,2,0,0.0,74.0,368.639,0
1541.0,13704.0,7,5,2001,2002,1541.0,843.0,3,1,468.0,81.0,390.771,0
813.0,5684.0,6,8,1930,2005,813.0,270.0,2,0,0.0,113.0,232.479,1
1647.0,6858.0,6,4,1915,1950,806.0,216.0,4,0,0.0,66.0,290.381,1
2358.0,45600.0,6,8,1908,1997,907.0,360.0,5,1,486.0,40.0,321.618,0
1553.0,8125.0,7,5,2005,2006,756.0,615.0,3,0,0.0,45.0,394.795,0
1709.0,2522.0,7,5,2004,2004,970.0,380.0,3,0,0.0,40.0,408.146,0
1218.0,1680.0,6,7,1972,1972,672.0,264.0,3,0,0.0,28.0,300.154,0
1268.0,7800.0,5,6,1954,1954,1268.0,244.0,2,1,0.0,98.0,293.784,0
1214.0,10355.0,5,5,1967,1967,1214.0,318.0,3,1,0.0,111.0,288.329,0
1552.0,11475.0,6,6,1975,1975,713.0,434.0,3,1,209.0,208.0,264.244,0
1474.0,8530.0,7,5,1995,1996,384.0,400.0,3,1,120.0,72.0,336.761,0
864.0,15523.0,5,6,1972,1972,864.0,338.0,3,1,0.0,0.0,223.524,0
1484.0,12243.0,5,6,1971,1971,1484.0,487.0,3,1,224.0,0.0,310.516,0
630.0,1533.0,5,7,1970,1970,630.0,0.0,1,0,0.0,0.0,187.04,0
1339.0,8049.0,7,5,1990,1990,1309.0,484.0,2,1,0.0,58.0,330.466,0
2108.0,13728.0,6,7,1935,1986,1127.0,540.0,4,2,0.0,0.0,409.835,0
996.0,13907.0,5,6,1940,1969,996.0,0.0,3,1,144.0,0.0,224.751,0
1040.0,8544.0,3,4,1949,1950,0.0,400.0,2,0,0.0,0.0,131.94,0
1394.0,9735.0,5,5,2006,2007,384.0,400.0,3,0,100.0,0.0,350.975,0
1694.0,10084.0,8,5,2004,2005,1686.0,636.0,3,1,255.0,57.0,464.476,0
1074.0,10140.0,5,6,1975,1975,1056.0,495.0,3,0,0.0,88.0,279.643,0
1920.0,11345.0,5,5,1948,1950,928.0,400.0,4,0,0.0,0.0,374.902,0
2324.0,11924.0,9,5,2005,2006,1175.0,736.0,4,2,147.0,21.0,542.761,0
833.0,8780.0,5,5,1985,1985,833.0,0.0,3,0,0.0,0.0,220.379,1
768.0,7244.0,5,7,1970,1970,768.0,624.0,2,0,104.0,0.0,277.151,1
1479.0,13517.0,6,8,1976,2005,725.0,475.0,3,0,0.0,44.0,353.088,0
848.0,4435.0,6,5,2004,2004,848.0,420.0,1,1,140.0,0.0,387.617,0
1226.0,10402.0,7,5,2009,2009,1226.0,740.0,3,0,0.0,36.0,454.236,0
2329.0,11839.0,7,5,1990,1990,1475.0,514.0,4,1,192.0,121.0,406.756,0
1287.0,9830.0,5,7,1959,2006,1063.0,576.0,3,1,364.0,17.0,368.583,0
1464.0,12886.0,5,6,1963,1999,520.0,480.0,3,1,302.0,0.0,275.417,0
1452.0,4456.0,4,5,1920,2008,736.0,0.0,2,0,0.0,0.0,182.966,1
1340.0,8899.0,7,5,2007,2007,1340.0,396.0,3,0,100.0,30.0,448.118,1
2229.0,5520.0,6,6,1912,1950,755.0,0.0,5,0,0.0,198.0,298.152,0
1569.0,3635.0,7,5,2007,2007,1386.0,660.0,1,1,143.0,20.0,441.733,0
1768.0,10778.0,4,5,1968,1968,1768.0,0.0,4,0,0.0,0.0,284.979,0
1635.0,8737.0,6,7,1923,1950,1065.0,440.0,3,1,0.0,38.0,338.183,0
1844.0,10994.0,8,5,2005,2006,1844.0,620.0,2,1,165.0,44.0,458.535,0
1456.0,9018.0,7,5,2007,2007,728.0,400.0,3,1,100.0,24.0,406.787,0
2084.0,14803.0,10,5,2007,2008,2078.0,1220.0,2,1,188.0,45.0,604.067,0
2704.0,13860.0,8,7,1972,1995,1952.0,538.0,4,3,269.0,111.0,462.73,0
1466.0,10800.0,5,8,1936,1989,796.0,566.0,3,1,436.0,21.0,269.546,0
1026.0,10970.0,6,6,1978,1978,940.0,576.0,3,0,0.0,0.0,310.3,0
2144.0,159000.0,6,7,1958,2006,1444.0,389.0,4,2,0.0,98.0,441.014,0
1716.0,5687.0,5,6,1912,2000,780.0,0.0,6,0,0.0,184.0,261.929,0
1358.0,6371.0,7,5,2009,2010,1358.0,484.0,2,1,192.0,35.0,476.733,0
1342.0,9790.0,6,5,1967,1967,1372.0,457.0,3,1,0.0,0.0,346.167,0
1851.0,9760.0,6,8,1964,1993,822.0,440.0,3,1,239.0,42.0,373.036,0
1200.0,3180.0,7,5,2005,2005,600.0,480.0,2,0,0.0,166.0,406.827,0
1288.0,14963.0,8,5,1996,1996,1260.0,500.0,1,2,120.0,30.0,384.109,0
1509.0,7861.0,6,5,2002,2003,783.0,393.0,3,1,100.0,75.0,387.699,0
2473.0,9591.0,8,5,2004,2005,1143.0,852.0,4,1,192.0,151.0,538.341,0
1040.0,7200.0,5,7,1950,1950,0.0,625.0,2,0,0.0,0.0,251.24,0
864.0,9100.0,5,5,1958,1958,864.0,624.0,3,0,0.0,0.0,276.651,0
